Tick,Total Population,White Daisies,Black Daisies,Global Temperature,Luminosity
1,16,5,11,18.841496488293338,1.0
2,16,5,11,30.369303358694754,1.0
3,18,7,11,37.07848463892715,1.0
4,23,12,11,34.96843672514916,1.0
5,21,12,9,31.653073993673356,1.0
6,19,12,7,26.360271183436236,1.0
7,18,12,6,25.088887807831995,1.0
8,19,13,6,22.62057187092496,1.0
9,19,12,7,21.27165682772048,1.0
10,22,14,8,19.601063596241392,1.0
11,22,14,8,18.76123339242669,1.0
12,22,14,8,18.20960207637484,1.0
13,22,13,9,17.87543534461739,1.0
14,22,10,12,19.2668031022999,1.0
15,21,10,11,25.1682498054622,1.0
16,22,10,12,28.634732301651837,1.0
17,20,9,11,31.20583023480978,1.0
18,18,8,10,33.750217052301416,1.0
19,17,9,8,36.53604717718605,1.0
20,18,11,7,36.32274979926512,1.0
21,19,12,7,30.995901350471435,1.0
22,17,12,5,29.552330882974015,1.0
23,15,11,4,27.253783125008994,1.0
24,17,13,4,23.127165149980307,1.0
25,15,11,4,21.342892095725382,1.0
26,16,11,5,21.888985557364368,1.0
27,14,10,4,22.86783306674266,1.0
28,16,12,4,21.535111343653966,1.0
29,16,12,4,19.135662577997117,1.0
30,20,14,6,17.102020268514618,1.0
31,21,13,8,16.02727795478501,1.0
32,23,12,11,17.748748747006918,1.0
33,21,11,10,20.13382973577161,1.0
34,19,9,10,21.971933393404086,1.0
35,19,10,9,25.51411366601498,1.0
36,18,9,9,26.013431076680487,1.0
37,18,8,10,27.724911088212355,1.0
38,17,8,9,30.288330275832383,1.0
39,16,7,9,31.37638733792654,1.0
40,13,6,7,33.268997152435446,1.0
41,15,8,7,33.722789770982814,1.0
42,16,9,7,31.71392701196118,1.0
43,18,12,6,25.824698231407048,1.0
44,18,13,5,23.278841022996293,1.0
45,17,13,4,20.494140855271016,1.0
46,18,14,4,17.844263501557478,1.0
47,18,12,6,16.46177212537485,1.0
48,18,11,7,18.84899304708032,1.0
49,20,11,9,22.085953762465806,1.0
50,21,11,10,25.22329026000749,1.0
51,22,13,9,24.45086154378652,1.0
52,23,14,9,22.378766840343722,1.0
53,19,12,7,19.72456236530283,1.0
54,19,11,8,21.114209314285393,1.0
55,18,12,6,22.22203586210216,1.0
56,20,14,6,20.978849306010865,1.0
57,17,11,6,18.747801681905976,1.0
58,17,11,6,21.215757284861432,1.0
59,17,11,6,22.411064686930132,1.0
60,17,11,6,23.006880985098604,1.0
61,20,13,7,22.39895897768827,1.0
62,19,12,7,20.847343336275344,1.0
63,20,13,7,20.065299576277532,1.0
64,20,13,7,19.675091571804384,1.0
65,19,12,7,19.464566699258274,1.0
66,20,13,7,19.365103079141537,1.0
67,17,10,7,19.333465682963965,1.0
68,14,9,5,23.425029451469786,1.0
69,14,9,5,26.447103011222804,1.0
70,15,10,5,27.044097931793825,1.0
71,14,10,4,27.535754309456888,1.0
72,13,10,3,27.59953962644926,1.0
73,10,7,3,27.340743650418307,1.0
74,8,6,2,30.980285238810147,1.0
75,7,5,2,34.35179450415305,1.0
76,6,4,2,37.788078469380885,1.0
77,4,3,1,39.85531910547407,1.0
78,6,5,1,43.27147369315295,1.0
79,10,9,1,41.3562351287827,1.0
80,12,11,1,34.08043115588181,1.0
81,13,12,1,28.537639472773925,1.0
82,12,12,0,23.780452606263562,1.0
83,12,12,0,21.69935406355506,1.0
84,8,8,0,20.332123625123014,1.0
85,8,8,0,24.52759761863415,1.0
86,7,7,0,27.130823232091824,1.0
87,7,7,0,29.95463548640647,1.0
88,8,8,0,31.57454657178325,1.0
89,7,7,0,31.2551114629938,1.0
90,8,8,0,32.3362996226483,1.0
91,9,9,0,30.373566194878258,1.0
92,13,13,0,25.575807279586726,1.0
93,16,16,0,19.590099890662533,1.0
94,18,18,0,12.008755446064155,1.0
95,17,17,0,6.30797500225408,1.0
96,16,16,0,2.474101947154707,1.0
97,16,16,0,2.356368989277906,1.0
98,12,12,0,2.01533926203628,1.0
99,11,11,0,6.761109687786148,1.0
100,10,10,0,11.402344003478708,1.0
101,9,9,0,15.731897391499128,1.0
102,9,9,0,19.67165231563665,1.0
103,9,9,0,22.025908406321182,1.0
104,10,10,0,23.50266953157731,1.0
105,10,10,0,21.93011322880818,1.0
106,9,9,0,22.397002637321048,1.0
107,8,8,0,24.26322502622473,1.0
108,8,8,0,27.06675011754984,1.0
109,7,7,0,28.810288959488457,1.0
110,17,17,0,18.54757987681179,1.0
111,15,15,0,12.61544497264795,1.0
112,11,11,0,11.66324883895262,1.0
113,11,11,0,16.113234287209185,1.0
114,11,11,0,18.458055639792402,1.0
115,10,10,0,19.758003312592454,1.0
116,9,9,0,21.797194304346522,1.0
117,9,9,0,24.247762005513252,1.0
118,12,12,0,19.33649270718737,1.0
119,15,15,0,15.459865823372235,1.0
120,15,15,0,11.941371100662797,1.0
121,14,14,0,10.768799592614997,1.0
122,13,13,0,11.027143159933003,1.0
123,12,12,0,12.321797178868671,1.0
124,11,11,0,14.238391411764779,1.0
125,9,9,0,16.566672251454516,1.0
126,6,6,0,20.52402459359048,1.0
127,7,7,0,25.41180933304201,1.0
128,5,5,0,27.311730680727532,1.0
129,3,3,0,32.441915559758186,1.0
130,3,3,0,37.89478950104346,1.0
131,2,2,0,40.87147378110291,1.0
132,4,4,0,41.332457249344415,1.0
133,7,7,0,39.60779005723984,1.0
134,9,9,0,35.15151755960536,1.0
135,15,15,0,28.856230074444937,1.0
136,19,19,0,17.881245712691385,1.0
137,18,18,0,10.039176402544328,1.0
138,17,17,0,6.192888247293646,1.0
139,16,16,0,4.75415730574907,1.0
140,15,15,0,5.238916459537268,1.0
141,15,15,0,6.673906226872954,1.0
142,15,15,0,7.4748294526610275,1.0
143,15,15,0,7.91348924099512,1.0
144,15,15,0,8.171679639620884,1.0
145,15,15,0,8.327390211971736,1.0
146,14,14,0,8.421536542721466,1.0
147,12,12,0,9.738881527167397,1.0
148,9,9,0,12.946052552928116,1.0
149,8,8,0,18.366997698527644,1.0
150,8,8,0,22.52399986162158,1.0
151,9,9,0,25.26255594717689,1.0
152,12,12,0,22.019699926035038,1.0
153,13,13,0,17.61939642257427,1.0
154,12,12,0,15.127469602201984,1.0
155,9,9,0,16.105184910574465,1.0
156,6,6,0,20.393352985737575,1.0
157,5,5,0,26.427442560772583,1.0
158,5,5,0,29.829298695167832,1.0
159,5,5,0,32.022109931047524,1.0
160,5,5,0,34.46252083027761,1.0
161,9,9,0,33.26085890101477,1.0
162,10,10,0,30.138328790430776,1.0
163,9,9,0,25.972977142798154,1.0
164,9,9,0,26.075925508977626,1.0
165,10,10,0,24.806381176597213,1.0
166,10,10,0,22.756377728930506,1.0
167,12,12,0,19.108809188981976,1.0
168,14,14,0,18.015514635158667,1.0
169,14,14,0,13.794839432907308,1.0
170,14,14,0,12.715873354939067,1.0
171,15,15,0,12.303324663839847,1.0
172,15,15,0,10.820351433013009,1.0
173,14,14,0,10.011191889968938,1.0
174,11,11,0,10.808635781909548,1.0
175,11,11,0,14.98219810257995,1.0
176,10,10,0,17.666333589968996,1.0
177,11,11,0,19.37214794567904,1.0
178,9,9,0,20.48645444195329,1.0
179,9,9,0,23.783539314371975,1.0
180,11,11,0,23.215603407147018,1.0
181,10,10,0,23.038484895704297,1.0
182,9,9,0,24.29664472199506,1.0
183,8,8,0,26.251453322461458,1.0
184,7,7,0,27.313711934600146,1.0
185,7,7,0,29.294065143637194,1.0
186,6,6,0,31.717014293516712,1.0
187,4,4,0,34.41576907652295,1.0
188,3,3,0,37.192480490510704,1.0
189,2,2,0,41.309259347243696,1.0
190,3,3,0,44.858269961569306,1.0
191,7,7,0,41.81557060538288,1.0
192,11,11,0,34.1262568177548,1.0
193,10,10,0,29.961010434126383,1.0
194,11,11,0,26.321471250137776,1.0
195,14,14,0,21.38479162764393,1.0
196,14,14,0,17.797090609955838,1.0
197,14,14,0,14.033496436955236,1.0
198,15,15,0,12.585685566665664,1.0
199,15,15,0,8.939494095578166,1.0
200,13,13,0,7.953152420181026,1.0
